columna,faltantes,porcentaje_faltante
email,374,93.73
app,374,93.73
web,322,80.7
servicios_adicionales,282,70.68
fabricantes_ref,207,51.88
observaciones,203,50.88
presentacion,119,29.82
resena_destacada,54,13.53
codigo_plus,49,12.28
diseno,48,12.03
seguidores_instagram,39,9.77
cantidad_resenas,36,9.02
puntaje_google,36,9.02
horario,33,8.27
telefono,32,8.02
fuente_de_datos,17,4.26
fecha_recoleccion,13,3.26
instagram,7,1.75
comuna,7,1.75
zona,7,1.75
direccion,2,0.5
nombre_del_estudio,0,0.0
barrio,0,0.0
id_estudio,0,0.0
tiene_instagram,0,0.0
tiene_web,0,0.0
tiene_email,0,0.0
tiene_app,0,0.0
presencia_digital,0,0.0
tiene_telefono,0,0.0
n_canales_contacto,0,0.0
n_fabricantes,0,0.0
fabricante_multiple,0,0.0
