id_estudio,nombre_del_estudio,puntaje_google,cantidad_resenas,barrio,zona
EST-0244,MR Pilates Reformer @mrpilatesreforme,5.2,62.0,Parque Chacabuco,Oeste
EST-0322,Flow Pilates Estudio,5.2,42.0,Agronomía,Norte
EST-0393,Danez Pilates & Funciónal,5.0,457.0,Villa Santa Rita,Oeste
EST-0319,Danez Pilates & Funcional,5.0,392.0,Villa del Parque,Oeste
EST-0334,BB. estudio,5.0,138.0,Villa Urquiza,Norte
EST-0335,Linda para vos - Pilates & Spa,5.0,137.0,Villa Urquiza,Norte
EST-0122,Studio Secret to Live,5.0,129.0,Recoleta,Norte
EST-0100,Espacio Balance,5.0,120.0,Belgrano,Norte
EST-0148,Teseo | Pilates Funcional,5.0,118.0,San Nicolás,Centro
EST-0144,Teseo.Pilates Funcional,5.0,103.0,San Nicolás,Centro
EST-0009,Angel Pilates,5.0,101.0,Palermo,Norte
EST-0106,Mon Rêve Pilates,5.0,99.0,Recoleta,Norte
EST-0057,Humanu Pilates,5.0,85.0,Caballito,Oeste
EST-0321,Pilates Más Actividad sucursal Villa del Parque,5.0,82.0,Villa del Parque,Oeste
EST-0161,Prisma Pilates,5.0,80.0,San Telmo,Centro
EST-0340,Fémina Estudio,5.0,79.0,Villa Urquiza,Norte
EST-0021,Body Fit - Pilates Contemporaneo,5.0,78.0,Palermo,Norte
EST-0268,Corpo método Pilates,5.0,77.0,Colegiales,Norte
EST-0312,Espacio Infinito Yoga y Pilates,5.0,76.0,Villa Devoto,Oeste
EST-0041,Toulouse Pilates Palermo,5.0,72.0,Palermo,Norte
