id_estudio,nombre_del_estudio,puntaje_google,cantidad_resenas,barrio,zona
EST-0393,Danez Pilates & Funciónal,5.0,457.0,Villa Santa Rita,Oeste
EST-0319,Danez Pilates & Funcional,5.0,392.0,Villa del Parque,Oeste
EST-0006,Club Palermo Pilates,4.9,378.0,Palermo,Norte
EST-0115,Epiler Recoleta,4.6,273.0,Recoleta,Norte
EST-0076,MUV Pilates Belgrano,4.9,185.0,Belgrano,Norte
EST-0080,Be Pilates,4.7,143.0,Belgrano,Norte
EST-0334,BB. estudio,5.0,138.0,Villa Urquiza,Norte
EST-0335,Linda para vos - Pilates & Spa,5.0,137.0,Villa Urquiza,Norte
EST-0384,GD Pilates & Elongacion by Marce Vaisberg,4.8,137.0,Villa General Mitre,Oeste
EST-0176,Piuké Pilates Boedo,4.8,132.0,Boedo,Centro
EST-0035,Pilates HIIT,4.9,131.0,Palermo,Norte
EST-0122,Studio Secret to Live,5.0,129.0,Recoleta,Norte
EST-0100,Espacio Balance,5.0,120.0,Belgrano,Norte
EST-0148,Teseo | Pilates Funcional,5.0,118.0,San Nicolás,Centro
EST-0031,Naroa Pilates,4.7,110.0,Palermo,Norte
EST-0378,206 Pilates Studio,4.3,110.0,Villa Luro,Oeste
EST-0234,206 Pilates Studio,4.3,106.0,Vélez Sársfield,
EST-0156,"aires up! Fitness y Pilates, Sede Barrio Norte",3.9,103.0,Retiro,Centro
EST-0144,Teseo.Pilates Funcional,5.0,103.0,San Nicolás,Centro
EST-0009,Angel Pilates,5.0,101.0,Palermo,Norte
