ranking,barrio,estudios,poblacion,estudios_por_10000,seguidores_totales,resenas_totales,puntaje_promedio,indice_saturacion,nivel_saturacion
1,Puerto Madero,4,6726,5.95,21903.0,43.0,4.55,0.717,Alta
2,San Nicolas,16,29273,5.47,53658.0,739.0,4.8933333333333335,0.715,Alta
3,Villa Luro,18,32502,5.54,36740.0,607.0,4.8625,0.705,Alta
4,Palermo,47,226534,2.07,286891.0,1997.0,4.857446808510638,0.524,Alta
5,San Telmo,7,20453,3.42,8901.0,228.0,4.82,0.407,Baja
6,Belgrano,31,126267,2.46,83997.0,1150.0,4.903448275862068,0.388,Baja
7,Villa Urquiza,25,91563,2.73,38187.0,937.0,4.792,0.378,Baja
8,Recoleta,27,157932,1.71,217911.0,879.0,4.742857142857143,0.376,Baja
9,Boedo,13,47306,2.75,11788.0,429.0,4.846153846153846,0.337,Baja
10,Parque Chacabuco,15,56281,2.67,18899.0,336.0,4.578571428571428,0.327,Baja
11,Colegiales,13,52551,2.47,21393.0,277.0,4.825,0.302,Baja
12,Chacarita,7,27761,2.52,7970.0,165.0,4.8,0.293,Baja
13,Liniers,10,44132,2.27,20687.0,337.0,4.89,0.28,Baja
14,Villa Santa Rita,7,33325,2.1,12195.0,542.0,4.9799999999999995,0.263,Baja
15,Parque Patricios,9,40985,2.2,9465.0,172.0,4.914285714285714,0.255,Baja
16,Villa Del Parque,10,55273,1.81,32085.0,693.0,4.922222222222222,0.249,Muy baja
17,Versalles,3,13822,2.17,9069.0,56.0,4.8,0.245,Muy baja
18,Villa Riachuelo,3,14084,2.13,7615.0,6.0,5.0,0.237,Muy baja
19,Villa Gral. Mitre,7,34713,2.02,7711.0,230.0,4.8428571428571425,0.235,Muy baja
20,Villa Devoto,12,66521,1.8,24633.0,291.0,4.844444444444445,0.223,Muy baja
21,Caballito,24,176076,1.36,58287.0,819.0,4.778260869565218,0.219,Muy baja
22,Villa Crespo,14,81959,1.71,9905.0,375.0,4.625,0.205,Muy baja
23,Nuñez,9,51949,1.73,17138.0,199.0,4.8,0.204,Muy baja
24,Velez Sarsfield,5,35081,1.43,2773.0,225.0,4.74,0.159,Muy baja
25,Villa Real,2,13419,1.49,1096.0,2.0,5.0,0.154,Muy baja
26,Retiro,8,65413,1.22,9977.0,281.0,4.65,0.141,Muy baja
27,Floresta,5,37575,1.33,3815.0,90.0,4.325,0.14,Muy baja
28,Almagro,12,131699,0.91,30687.0,347.0,4.754545454545454,0.121,Muy baja
29,Barracas,6,89452,0.67,17055.0,184.0,4.55,0.073,Muy baja
30,Mataderos,5,64436,0.78,496.0,30.0,4.725,0.068,Muy baja
31,Agronomia,1,13912,0.72,577.0,42.0,5.2,0.061,Muy baja
32,Saavedra,3,50295,0.6,841.0,115.0,4.933333333333334,0.05,Muy baja
33,Coghlan,1,18604,0.54,829.0,38.0,4.9,0.039,Muy baja
34,Constitucion,2,44107,0.45,2641.0,43.0,5.0,0.029,Muy baja
35,Boca,2,45113,0.44,485.0,7.0,4.6,0.025,Muy baja
36,Balvanera,5,138926,0.36,6561.0,119.0,4.9799999999999995,0.025,Muy baja
37,Villa Lugano,4,126374,0.32,8138.0,94.0,4.85,0.02,Muy baja
38,Parque Avellaneda,2,53229,0.38,1447.0,9.0,4.7,0.018,Muy baja
39,Villa Pueyrredon,1,39654,0.25,13300.0,91.0,4.7,0.015,Muy baja
40,Flores,4,164310,0.24,6971.0,83.0,4.825,0.009,Muy baja
