id_marca,marca_canonica,alias,instagram,sitio_web,estado
1,206 Pilates Studio,206 Pilates Studio,,,activa
2,"@Vyfpilates, Pilates","@vyfpilates, Pilates",,,activa
3,Ac Atelier Pilates,AC Atelier Pilates,,,activa
4,Alma Pilates,ALMA Pilates,,,activa
5,Attic - Pilates & Barre Studio,ATTIC - Pilates & Barre Studio,,,activa
6,Accio Estudio - Danza Y Pilates,Accio Estudio - Danza y Pilates,,,activa
7,Alais Pilates,Alais Pilates,,,activa
8,Alfa Pilates,Alfa Pilates,,,activa
9,Alfa&Omega Pilates,Alfa&Omega Pilates,,,activa
10,Allegro Pilates,Allegro Pilates,,,activa
11,Alma Move It. Espacio Integral De Técnicas Corporales Conscientes,Alma Move It. Espacio Integral de Técnicas Corporales Conscientes,,,activa
12,Alma Pilates Gaona-Estetica,Alma Pilates Gaona-Estetica,,,activa
13,Almha Pilates,Almha Pilates,,,activa
14,Alquimia Pilates,Alquimia Pilates,,,activa
15,Amazonia Pilates,Amazonia Pilates,,,activa
16,Ambar Wellness -Pilates,Ambar Wellness -pilates,,,activa
17,Ambika Caballito,Ambika Caballito,,,activa
18,Ambika Pilates Palermo,Ambika Pilates Palermo,,,activa
19,Ameray Pilates,Ameray Pilates,,,activa
20,Ampilates.Estudio,Ampilates.estudio,,,activa
21,Ananda Pilates,Ananda Pilates,,,activa
22,Angel Pilates,Angel Pilates,,,activa
23,Anima Estudio Pilates,Anima Estudio Pilates,,,activa
24,Aprile Pilates,Aprile Pilates,,,activa
25,Arena Pilates,Arena Pilates,,,activa
26,Armonia Pilates,Armonia Pilates,,,activa
27,Armonía'S Pilates,Armonía's pilates,,,activa
28,Art Pilates,Art Pilates,,,activa
29,Arte Pilates,Arte Pilates,,,activa
30,Aura Pilates,Aura Pilates,,,activa
31,Aura Pilates Recoleta,Aura Pilates Recoleta,,,activa
32,Aural Studio Pilates,Aural Studio Pilates,,,activa
33,Ayla Studio Pilates,Ayla Studio Pilates,,,activa
34,Ayres De Barracas Pilates,Ayres de Barracas Pilates,,,activa
35,Ba Pilates Caballito,BA PILATES CABALLITO,,,activa
36,Barre Estudio,BARRE ESTUDIO,,,activa
37,Bb. Estudio,BB. estudio,,,activa
38,Bg Pilates Barrio Norte,BG PILATES BARRIO NORTE,,,activa
39,Body Life Pilates,BODY LIFE PILATES,,,activa
40,Bsm Pilates,BSM Pilates,,,activa
41,Balance Pilates,Balance Pilates,,,activa
42,Bayres Pilates Studio,Bayres Pilates Studio,,,activa
43,Be Balance Studiopilates Microcentro,Be Balance StudioPilates Microcentro,,,activa
44,Be Pilates,Be Pilates,,,activa
45,Benincasa Pilates,Benincasa Pilates,,,activa
46,Bicca Pilates Studio,Bicca Pilates Studio,,,activa
47,Bienestar En Movimiento,Bienestar en Movimiento,,,activa
48,Bive Pilates,Bive Pilates,,,activa
49,Bive Pilates Villa Luro,Bive Pilates Villa Luro,,,activa
50,Bloom Pilates,Bloom Pilates,,,activa
51,Body Fit - Pilates Contemporaneo,Body Fit - Pilates Contemporaneo,,,activa
52,Casa De Movimiento Pilates Studio,CASA DE MOVIMIENTO Pilates Studio,,,activa
53,Cep - Centro De Estetica & Pilates - Barracas,CEP - Centro de estetica & pilates - Barracas,,,activa
54,Columpylates,COLUMPYLATES,,,activa
55,Conscious Studio Pilates,CONSCIOUS STUDIO PILATES,,,activa
56,Calupi Estudio,Calupi Estudio,,,activa
57,Carpe Diem Pilates Clásico,Carpe Diem Pilates Clásico,,,activa
58,Casa Amarilla Pilates Y Masajes,Casa Amarilla Pilates y masajes,,,activa
59,Casa Dynamo Pilates,Casa Dynamo Pilates,,,activa
60,Casa Encuentro - Pilates & Flex,Casa Encuentro - Pilates & Flex,,,activa
61,Centro Byb,Centro ByB,,,activa
62,Centro Pilates Buenos Aires,Centro Pilates Buenos Aires,,,activa
63,Centro Pilates Time,Centro Pilates Time,,,activa
64,Centropilates Ba Núñez,Centropilates BA Núñez,,,activa
65,Centropilates Ba Palermo,Centropilates BA Palermo,,,activa
66,Chysalis,Chysalis,,,activa
67,Cinética Pilates,Cinética Pilates,,,activa
68,Claudia Pilates Y Kobido,Claudia Pilates y Kobido,,,activa
69,Clic Pilates Palermo Hollywood,Clic Pilates Palermo Hollywood,,,activa
70,Clic Pilates Palermo Soho,Clic Pilates Palermo Soho,,,activa
71,Club Palermo Pilates,Club Palermo Pilates,,,activa
72,Colmao De Pilates,Colmao de Pilates,,,activa
73,Corpo Método Pilates,Corpo método Pilates,,,activa
74,Corporal Centro De Bienestar Fisico,Corporal Centro De Bienestar Fisico,,,activa
