barrio,estudios,porcentaje
Palermo,47,11.78
Belgrano,31,7.77
Recoleta,27,6.77
Villa Urquiza,25,6.27
Caballito,24,6.02
Villa Luro,18,4.51
San Nicolás,16,4.01
Parque Chacabuco,15,3.76
Villa Crespo,14,3.51
Colegiales,13,3.26
Boedo,13,3.26
Almagro,12,3.01
Villa Devoto,12,3.01
Liniers,10,2.51
Villa del Parque,10,2.51
Núñez,9,2.26
Parque Patricios,9,2.26
Retiro,8,2.01
San Telmo,7,1.75
Chacarita,7,1.75
Villa General Mitre,7,1.75
Villa Santa Rita,7,1.75
Barracas,6,1.5
Mataderos,5,1.25
Vélez Sársfield,5,1.25
Floresta,5,1.25
Balvanera,5,1.25
Puerto Madero,4,1.0
Flores,4,1.0
Villa Lugano,4,1.0
Villa Riachuelo,3,0.75
Versalles,3,0.75
Saavedra,3,0.75
Boca,2,0.5
Constitución,2,0.5
Parque Avellaneda,2,0.5
Villa Real,2,0.5
Coghlan,1,0.25
Villa Pueyrredón,1,0.25
Agronomía,1,0.25
