id_estudio,nombre_del_estudio,barrio,zona,indice_visibilidad,nivel_visibilidad
EST-0103,"Pilates by CORE - RECOLETA, MANSILLA",Recoleta,Norte,0.023,Muy baja
EST-0394,Paulypilates,Villa Santa Rita,Oeste,0.06,Muy baja
EST-0264,Toulouse Pilates Colegiales,Colegiales,Norte,0.06,Muy baja
EST-0271,Gimnasio Plaza Lou,Colegiales,Norte,0.06,Muy baja
EST-0304,Estilo Devoto Pilates,Villa Devoto,Oeste,0.06,Muy baja
EST-0260,Kyo Pilates,Versalles,Oeste,0.114,Muy baja
EST-0352,Hono Studio,Saavedra,Norte,0.135,Muy baja
EST-0228,SerUno • Pilates Reformer,Villa Luro,Oeste,0.135,Muy baja
EST-0225,SOY Pilates,Mataderos,Oeste,0.135,Muy baja
EST-0181,Cuerpo Saludable Pilates,Boedo,Centro,0.162,Muy baja
EST-0235,Sukha Pilates Core Center,Vélez Sársfield,,0.173,Muy baja
EST-0098,OStudio pilates y más,Belgrano,Norte,0.173,Muy baja
EST-0234,206 Pilates Studio,Vélez Sársfield,,0.173,Muy baja
EST-0365,Bienestar en Movimiento,Villa Crespo,Norte,0.173,Muy baja
EST-0275,Vitalife Pilates,Colegiales,Norte,0.173,Muy baja
EST-0367,SerUno • Pilates Reformer,Villa Luro,Oeste,0.173,Muy baja
EST-0223,V.A. Pilates & Stretching,Mataderos,Oeste,0.173,Muy baja
EST-0193,MP Pilates,Núñez,Norte,0.173,Muy baja
EST-0155,Pilates Más Actividad sucursal Recoleta,Retiro,Centro,0.173,Muy baja
EST-0149,Arena Pilates,San Nicolás,Centro,0.173,Muy baja
