id_estudio,nombre_del_estudio,barrio,zona,indice_desarrollo_digital,nivel_desarrollo_digital
EST-0082,Prana House - Yoga & Pilates,Belgrano,Norte,1.0,Muy alto
EST-0079,PILATES FIT,Belgrano,Norte,0.925,Muy alto
EST-0309,Espacio Haya,Villa Devoto,Oeste,0.825,Muy alto
EST-0302,Pilates House Studio,Villa Devoto,Oeste,0.825,Muy alto
EST-0077,Pilates Delpino,Belgrano,Norte,0.825,Muy alto
EST-0161,Prisma Pilates,San Telmo,Centro,0.825,Muy alto
EST-0107,ÂME Pilates Body Ballet,Recoleta,Norte,0.825,Muy alto
EST-0083,Soho Pilates,Belgrano,Norte,0.825,Muy alto
EST-0125,Amazonia Pilates,Recoleta,Norte,0.825,Muy alto
EST-0136,SOMA PILATES,San Nicolás,Centro,0.825,Muy alto
EST-0075,BSM Pilates,Belgrano,Norte,0.7,Alto
EST-0071,Triskel Wellness Center,Caballito,Oeste,0.7,Alto
EST-0227,Mantra Yoga y Pilates,Mataderos,Oeste,0.7,Alto
EST-0087,Pilates menta,Belgrano,Norte,0.7,Alto
EST-0124,Genkiro Studio Recoleta,Recoleta,Norte,0.7,Alto
EST-0116,"Ser Zen barre, pilates y yoga",Recoleta,Norte,0.7,Alto
EST-0014,Corporal Centro De Bienestar Fisico,Palermo,Norte,0.7,Alto
EST-0012,Centropilates BA Palermo,Palermo,Norte,0.7,Alto
EST-0373,Hema Pilates,Villa Luro,Oeste,0.7,Alto
EST-0035,Pilates HIIT,Palermo,Norte,0.7,Alto
