Nombre del estudio,Dirección,Barrio,Teléfono,Email,Instagram,Seguidores,Puntaje x reserñas,Web,Fabricantes Ref,Diseño,App,Opiniones,Presentación,Servicios adicionales,Horario,Código Plus,Fuente de datos,Fecha de recolección,Observacciones,
Fusión Pilates Palermo,"Agüero 1200, C1425 Cdad. Autónoma de Buenos Aires",Palermo  Es RECOLETA,111560579144,,https://www.instagram.com/fusionpilatespalermo/,1903,"5,0 x68",,P&P,"Básico, Pelotas de colores y equipos- reformer, cadillac , chair…",,"Fusión Pilates Palermo es realmente excepcional. Por primera vez, he encontrado alivio para mi dolor de ciática gracias a sus maravillosas clases. Cada sesión se personaliza para satisfacer tus necesidades individuales, asegurando que te sientas genial y alcances tus objetivos personales. Silvia y Eli son instructores sobresalientes, y me siento increíblemente afortunada de asistir a sus clases. Como principiante en Pilates, hicieron que la experiencia fuera fácil y agradable, y ahora no puedo imaginar mi vida sin ellas!",-,"Pilates para embarazadas, para adulto mayor, pilates personalizado, Electrodos, masajes.",De lunes a viernes de 8 a. m.–8 p. m.,"CH3R+P3 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",31-07-25,,
Glow Pilates Studio,"Mario Bravo 1140, C1175 Cdad. Autónoma de Buenos Aires",Palermo,1125621856,,https://www.instagram.com/glowpilatesba/#,561,5.0x16,,Del Rio Pilates,"Moderno, tonalidades beige, grises, iluminado, plantas.",,"3 semanas atrás: Es un espacio muy hermoso, re bien cuidado y muy ordenado. Las clases son super dinámicas y entretenidas. El ambiente también es increíble como así sus profesoras.",-,,"De lunes a viernes de 8 a. m.–8 p. m. sábado, 9 a. m.–12 p. m.","CH3M+HQ Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps Instagram,31-07-25,Promocionan camas @del.rio.pilates  Y espejos divinos de @prusiadesign,
Tu mundo pilates,"Bulnes 1730, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1157668735,,https://www.instagram.com/tumundopilates_/?hl=es#,3209,"4,9x60",,-,"Amplio, iluminado, moderno, tonalidades claras en combinación con madera. Plantas decorativas.",https://reservaclase.com/tumundopilates/,"Hace 3 meses: Hermoso espacio. Atención de recepcionistas muy buena. Excelentes profesoras. Hace 6 meses: Me encanta el lugar! Se organizan muy bien, son muy responsables, hay buenas profes!",-,,"De lunes a viernes: 8 a. m.–12 p. m., 4–9 p. m. sábado, 9 a. m.–12 p. m.","CH5P+C2 Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps intagram,31-07-25,Tiene dos sedes: Sucursal Palermo: Bulnes 1730 caba Sucursal Las Cañitas : Baez 413 caba,
Fabiana Tallarico,"Guatemala 4375, 1425 Cdad. Autónoma de Buenos Aires",Palermo,1135233281,camara,https://www.instagram.com/fabiana.tallarico/?hl=es#,780,"4,9x25",,P&P,"Local a la calle, colorido, reformer clásicos, utensilios coloridos.",,"“Te ayudan, te informan, Te cuidan todo el tiempo.""""Es mí primera vez haciendo pilates y la verdad me encantó "". ""Superó mis expectativas, fabi y sus clases son muy lo más""",-,Centro de Pilates Reformer terapéutico,"Lunes a viernes 9 a. m.–1 p. m., 4–9 p. m. sábado, 9 a. m.–1 p. m.","CH6H+GJ Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps int,31-07-25,https://www.facebook.com/Pilates.FabianaTallarico/ ofrecen Master Class!,
Plaza Pilates,"Gurruchaga 2207, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1159511109,,https://www.instagram.com/plaza_pilates/?hl=es-la#,3550,"4,4x32",,p&p,"Reformer clásico, paleta de colores malvas, pared verde, espacio pequeño pero bien equipado, pelotas grises, bandas coloridas.",,"Hace 3 años: Pesimo trato, la profesora Natalia ( entiendo que es la dueña, mientras da clase esta permanentemente con el celular). También son muy poco claros al momento de cobrar faltando 4 clases para terminar el mes, te cobran el mes entero sin avisar que si pagaste 8 clases hay 4 que perdes",-,,"Lunes a viernes de 8 a. m.–12 p. m., 5–9 p. m.","CH7G+VQ Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",31-07-25,,
Club Palermo Pilates,"Armenia 2294 4 Piso, C1425BQD Cdad. Autónoma de Buenos Aires",Palermo,1155252681,camara,https://www.instagram.com/club_palermo_pilates/?hl=es-la#,"10,4 mil","4,9x378",,P&P,"Amplio, iluminado, paleta de colores verdes y violetas,",Siguefit,Hace 2 meses: El mejor estudio de pilates de palermo y alrededores sin dudas. El lugar es hiper agradable con linda vista impecable muy bien equipado con todos los elementos para las mejores clases y emma es un genio. Gran profesor! Siempre es un gusto ir a sus clases!,Desde el 2008 mejorandole la calidad de vida a nuestros alumnxs.,,"Lunes a viernes de 7 a. m.–11 p. m.sábado, 8 a. m.–4 p. m. domingo, 9 a. m.–12 p. m.","CH7H+VG Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",31-07-25,Infobae les hizo un trabajo.,
Hawa Fitness Pilates Studio,"Jerónimo Salguero 1495, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1163065030,,https://www.instagram.com/hawafitness/#,1275,"4,8x17",,Del Río pilates,,https://www.hawafitness.com/links/,2 semanas atrásNueva La profe Ale es amorosa! He ido a varios lugares previos a hacer pilates pero en ningún lugar me sentí tan cómoda y fue tan desafiante. Clases superpersonalizadas y disponibilidad horaria. Recomendado!,-,"TRX, pilates mat, hipopresivos, elongación,.Meditación sonora, yoga, aerofitness.","lunes, miércoles y viernes de 1–9 p. m. martes y jueves de 8 a. m.–9 p. m.","CH5J+5Q Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG web",31-07-25,Trabaja con niñas- danza,
"@vyfpilates, Pilates","Nicaragua 6002, C1414BWN Cdad. Autónoma de Buenos Aires",Palermo Soho,1158801522,,https://www.instagram.com/vyfpilates/?hl=es#,843,"5,0x19",,Studio Moderna Pilates,Básico.,,"Hace un añoSin dudas el mejor estudio de pilates clásico! Flor y su equipo son lo más! Son realmente buenas! Agradables, profesionales y excelentes profesoras. Te cuidan en cada movimiento. Las clases son muy dinamicas. Ir a este estudio es dedicarte unas horas semanales para desconectar, relajar y trabajar cuerpo y mente.","Soy Flor Pons, Bailarina e Instructora de Pilates Clásico. Evolución a través del movimiento.",,Lunes a viernes de 8 a. m.–9 p. m.,"CHC6+JV Buenos Aires, Cdad. Autónoma de Buenos Aires","Goole maps, IG",31-07-25,,
Angel Pilates,"Vidt 1980, C1425DJH Cdad. Autónoma de Buenos Aires",Palermo,11-6121-1905,,https://www.instagram.com/angelpilates/,2741,"5,0x101",,-,Básico.,,"Hace un año: Excelente lugar! Voy hace un par de años. Calidad profesional y humana de 10. El lugar súper cómodo y limpio. Las clases son dinámicas y variadas. Revertí por completo las dolencias por mis hernias de disco. Tomo clases con Isadora, una genia!! Muy recomendable",-,,"lunes, miércoles y viernes de 8 a. m.–12 p. m., 3–9 p. m. martes, 8 a. m.–12 p. m., 5–9 p. m. jueves, 8 a. m.–12 p. m., 3–9 p. m. sábado, 10 a. m.–1 p. m.","CH6P+9C Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",31-0-25,El profe – dueño es un chico,
Clic Pilates Palermo Soho,"Fray Justo Sta. María de Oro 2150, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111554573847,,https://www.instagram.com/clic.pilates/?hl=es,"14,6 mil","5,0x11",https://www.clicpilates.com/,-,"Moderno. Iluminado, reformer modernos , de madera pero no clásicos. Paleta de colores grises, combinados con madera.",,"Hace un mesUn lugar hermoso excelente atención muy amable, la profesora muy buena muy atenta, muy cálido el ambiente!","En CLIC Studio Pilates, nos especializamos en Pilates Clásico, honrando la técnica original de Contrología de Joseph Pilates. Con movimientos precisos y controlados, buscamos una experiencia auténtica y transformadora, promoviendo equilibrio, alineación, fuerza y flexibilidad.",,"Lunes a viernes de 7:45 a. m.–12:45 p. m., 2–9 p. m.","CH8C+VW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, web, instagram",01-08-25,Franquicia con varias sedes: Pilar • Pilará • Escobar • Nordelta • Palermo Soho • Palermo Hollywood • Belgrano C. Ofrecen instructorado.,
