barrio,poblacion,fuente,anio
Agronomia,13912,Censo Nacional,2010
Almagro,131699,Censo Nacional,2010
Balvanera,138926,Censo Nacional,2010
Barracas,89452,Censo Nacional,2010
Belgrano,126267,Censo Nacional,2010
Boca,45113,Censo Nacional,2010
Boedo,47306,Censo Nacional,2010
Caballito,176076,Censo Nacional,2010
Chacarita,27761,Censo Nacional,2010
Coghlan,18604,Censo Nacional,2010
Colegiales,52551,Censo Nacional,2010
Constitucion,44107,Censo Nacional,2010
Flores,164310,Censo Nacional,2010
Floresta,37575,Censo Nacional,2010
Liniers,44132,Censo Nacional,2010
Mataderos,64436,Censo Nacional,2010
Monserrat,39914,Censo Nacional,2010
Monte Castro,33623,Censo Nacional,2010
Nueva Pompeya,42695,Censo Nacional,2010
Nuñez,51949,Censo Nacional,2010
Palermo,226534,Censo Nacional,2010
Parque Avellaneda,53229,Censo Nacional,2010
Parque Chacabuco,56281,Censo Nacional,2010
Parque Chas,17489,Censo Nacional,2010
Parque Patricios,40985,Censo Nacional,2010
Paternal,19717,Censo Nacional,2010
Puerto Madero,6726,Censo Nacional,2010
Recoleta,157932,Censo Nacional,2010
Retiro,65413,Censo Nacional,2010
Saavedra,50295,Censo Nacional,2010
San Cristobal,48611,Censo Nacional,2010
San Nicolas,29273,Censo Nacional,2010
San Telmo,20453,Censo Nacional,2010
Velez Sarsfield,35081,Censo Nacional,2010
Versalles,13822,Censo Nacional,2010
Villa Crespo,81959,Censo Nacional,2010
Villa Del Parque,55273,Censo Nacional,2010
Villa Devoto,66521,Censo Nacional,2010
Villa Gral. Mitre,34713,Censo Nacional,2010
Villa Lugano,126374,Censo Nacional,2010
Villa Luro,32502,Censo Nacional,2010
Villa Ortuzar,21736,Censo Nacional,2010
Villa Pueyrredon,39654,Censo Nacional,2010
Villa Real,13419,Censo Nacional,2010
Villa Riachuelo,14084,Censo Nacional,2010
Villa Santa Rita,33325,Censo Nacional,2010
Villa Soldati,46779,Censo Nacional,2010
Villa Urquiza,91563,Censo Nacional,2010
